Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1862,183753,Campeador Fluminense,Angra dos Reis,Rio de Janeiro,,2,"Souza, Antônio José de"
1862,183754,Duarte I,Ubatuba,Rio de Janeiro,,2,"Cunha, José Rodrigues da"
1862,183756,Maria e Virgínia,Santa Catarina,Rio de Janeiro,,1,"Silva, Antônio José da"
1862,183757,S Maria,Santos,Rio de Janeiro,,3,"Ferreira, J.S."
1862,183758,Dois Amigos,Mangaratiba,Rio de Janeiro,,1,"Silva, José Rodrigues Gomes da"
1862,183759,S Pedro,Santos,Rio de Janeiro,,5,"Cunha, Pereira da"
1862,183760,Imperial Pedro,"Pernambuco, place unspecified",Rio de Janeiro,,15,"Mota, Vital José da"
1862,183761,Conde I,Macaé,Rio de Janeiro,,1,"Oliveira, Joaquim Gonçalves de"
1862,183762,Cardoso,Vitória,Rio de Janeiro,,2,"Lourenço, Bento José"
1862,183763,Paquete do Frio,Rio São Francisco do Sul,Rio de Janeiro,,2,"Silva, José Rodrigues Gomes da"
1862,183764,Macaense,Caravelas,Rio de Janeiro,,4,"Corrêa, Caetano Marques de"
1862,183765,Caçador,Rio São Francisco do Sul,Rio de Janeiro,,1,"Rosa, Zeferino Joaquim da"
1862,183766,S Pedro,Santos,Rio de Janeiro,,1,"Cunha, Pereira da"
1862,183767,Duarte I,Caraguatatuba,Rio de Janeiro,,1,"Silva, José Rodrigues Gomes da"
1862,183768,Imperatriz,Rio Grande,Rio de Janeiro,,1,"Laranja, E.L."
1862,183769,Josefina,Rio São João,Rio de Janeiro,,1,"Gavino, José Antônio"
1862,183770,Tentador,"Bahia, place unspecified",Rio de Janeiro,,8,"Simões, Augusto"
1862,183771,Norma,"Pernambuco, place unspecified",Rio de Janeiro,,10,"Prates, Frederico José"
1862,183772,Carolina,"Bahia, place unspecified",Rio de Janeiro,,2,"Silva, Antônio José da"
1862,183773,S Maria,Santos,Rio de Janeiro,,9,"Ferreira, Joaquim da Silva"
1862,183774,Diligente,Campos,Rio de Janeiro,,18,"Gomes, Carlos Antônio"
1862,183775,Céres,Campos,Rio de Janeiro,,27,"Bloem, J. Maria de Albuquerque"
1862,183776,Trovador,Macaé,Rio de Janeiro,,1,"Neves, Antônio Pinto das"
1862,183777,S Pedro,Santos,Rio de Janeiro,,9,"Cunha, Pereira da"
1862,183778,Imperador,Santa Catarina,Rio de Janeiro,,1,"Maciel Júnior, Antônio da Silveira"
1862,183779,D Afonso,Parati,Rio de Janeiro,,1,"Meireles, José Camilo de"
1862,183780,S Maria,Santos,Rio de Janeiro,,2,"Ferreira, J.S."
1862,183782,Paquete de Jurumirim,Jerumirim,Rio de Janeiro,,1,"Alves, Elias José"
